"GeoFips","GeoName","2014","2015","2016","2017","2018"
"00000","United States",47071,49019,50015,52118,54606
"01000","Alabama",37271,38891,39536,41030,42710
"02000","Alaska *",55835,57635,56302,57394,60355
"04000","Arizona",38246,39718,40801,42590,44597
"05000","Arkansas",38264,39513,40385,41657,43325
"06000","California",52363,55833,58048,60549,63720
"08000","Colorado",50711,52254,52475,55604,58896
"09000","Connecticut",66490,68368,69919,71740,74855
"10000","Delaware",45993,48017,48836,50798,52930
"11000","District of Columbia",71354,75457,77828,79221,81243
"12000","Florida",43140,45273,46073,48504,50964
"13000","Georgia",39802,41804,42896,44894,46957
"15000","Hawaii *",47257,49489,51170,53433,55214
"16000","Idaho",37905,39783,40567,42268,44554
"17000","Illinois",49461,51753,52417,54252,57145
"18000","Indiana",41098,42650,43672,45244,47321
"19000","Iowa",44801,46298,46547,47662,50175
"20000","Kansas",46881,47343,47390,48883,51261
"21000","Kentucky",37585,39199,39754,40904,42338
"22000","Louisiana",42686,42900,42528,43932,46207
"23000","Maine",41826,43622,44832,46565,48792
"24000","Maryland",54696,57036,59011,60758,62708
"25000","Massachusetts",59963,63618,65725,68442,71801
"26000","Michigan",41150,43477,44637,45948,47777
"27000","Minnesota",50258,52355,53083,54960,57371
"28000","Mississippi",34547,35206,35672,36536,37852
"29000","Missouri",41775,43153,44318,45342,47109
"30000","Montana",41901,43627,44024,46199,48194
"31000","Nebraska",48953,50725,49615,50645,52890
"32000","Nevada",41505,44314,45351,47650,50000
"33000","New Hampshire",52669,54533,56513,58759,61471
"34000","New Jersey",58670,61153,62842,64983,67845
"35000","New Mexico",37207,38320,39025,39747,41670
"36000","New York",56758,59243,61401,65814,68657
"37000","North Carolina",40069,41839,42816,44409,46216
"38000","North Dakota",56314,53762,51832,52736,55788
"39000","Ohio",42755,44405,45226,46829,48747
"40000","Oklahoma",45542,44192,41887,43794,45843
"41000","Oregon",42493,45163,46586,48762,51500
"42000","Pennsylvania",48434,50407,51818,53306,56032
"44000","Rhode Island",48169,49939,50655,52644,54431
"45000","South Carolina",37624,39446,40569,42227,43912
"46000","South Dakota",46957,48678,48724,49787,52633
"47000","Tennessee",40799,42626,43626,45233,47210
"48000","Texas",46310,46553,45803,48394,51136
"49000","Utah",38524,40899,42375,44178,47008
"50000","Vermont",47803,49395,50420,51697,53531
"51000","Virginia",50761,52742,53792,55631,57964
"53000","Washington",51502,53870,55802,58437,62209
"54000","West Virginia",36152,37061,37099,38927,41192
"55000","Wisconsin",44943,46859,47598,49264,51628
"56000","Wyoming",56710,56820,54168,56524,60689
